the_geom,gid,program,site_name,city,state,mapped_acr,Latitude,Longitude
POINT (-107.766266 37.960952),1345,Brownfield,Lizard,Unincorporated Ouray County,CO,10.85,37.960952,-107.766266
POINT (-107.730183 37.932621),1324,Brownfield,Honolulu,Unincorporated Ouray County,CO,10.34,37.932621,-107.730183
POINT (-107.728001 37.942002),1303,Brownfield,Gertrude,Unincorporated Ouray County,CO,10.26,37.942002,-107.728001
POINT (-107.780147 37.969739),1374,Brownfield,Nuada,Unincorporated Ouray County,CO,7.85,37.969739,-107.780147
POINT (-104.98027 39.79333),101,Abandoned Mine Land,"ASARCO, INC. (GLOBE PLANT)",DENVER,CO,1010,39.79333,-104.98027
POINT (-105.119179 39.717373),6365,RCRA,General Services Admin,Lakewood,CO,690,39.717373,-105.119179
POINT (-107.77 37.99),1327,Brownfield,Ilda G.,Unincorporated Ouray County,CO,10.34,37.99,-107.77
POINT (-107.698784 37.985308),1270,Brownfield,Croesus No. 5,Unincorporated Ouray County,CO,9.64,37.985308,-107.698784
POINT (-105.466 37.347),96,Abandoned Mine Land,CEDAR RESOURCES,CONEJOS,CO,0,37.347,-105.466
POINT (-107.778432 37.969418),1292,Brownfield,Fargo,Unincorporated Ouray County,CO,10.34,37.969418,-107.778432
POINT (-104.945556 39.803333),6344,RCRA,Suncor Energy (Usa) Dnv Refinery-Main,Commerce City,CO,23,39.803333,-104.945556
POINT (-105.12796 39.98365),1205,Brownfield,Louisville Tire and Auto Center,Louisville,CO,0,39.98365,-105.12796
POINT (-107.721916 37.941293),1429,Brownfield,Tuscola,Unincorporated Ouray County,CO,10.34,37.941293,-107.721916
POINT (-107.783877 37.976527),1369,Brownfield,New Discovery,Unincorporated Ouray County,CO,5.07,37.976527,-107.783877
POINT (-104.612206 38.231548),6374,RCRA,Rocky Mountain Steel Mills,Pueblo,CO,639,38.231548,-104.612206
POINT (-105.00595 39.484235),6370,RCRA,E.I. Dupont De Nemours & Co Inc Louviers,Louviers,CO,0,39.484235,-105.00595
POINT (-107.571 37.844),139,Abandoned Mine Land,UPPER ANIMAS MINING DISTRICT,SILVERTON,CO,0,37.844,-107.571
POINT (-107.716376 37.942488),1331,Brownfield,Ivanhoe,Unincorporated Ouray County,CO,10.05,37.942488,-107.716376
POINT (-107.792361 37.989316),1299,Brownfield,Fox,Unincorporated Ouray County,CO,20.07,37.989316,-107.792361
POINT (-107.717649 38.005552),1360,Brownfield,Moslem,Unincorporated Ouray County,CO,10.09,38.005552,-107.717649
POINT (-107.625 37.971),130,Abandoned Mine Land,UPPER UNCOMPAHGRE RIVER,OURAY,CO,3840,37.971,-107.625
POINT (-107.743822 37.946382),1267,Brownfield,Courier,Unincorporated Ouray County,CO,10.34,37.946382,-107.743822
POINT (-105.04558 39.83459),1451,Brownfield,Pousky,Westminster,CO,0.25,39.83459,-105.04558
POINT (-107.716761 37.955893),1352,Brownfield,Memoranda,Unincorporated Ouray County,CO,10.21,37.955893,-107.716761
POINT (-107.7428 37.942718),1228,Brownfield,Apache,Unincorporated Ouray County,CO,9.64,37.942718,-107.7428
POINT (-105.000863 39.780153),6355,RCRA,Ramp Industries Inc,Denver,CO,0.52,39.780153,-105.000863
POINT (-107.740739 37.94418),1251,Brownfield,Canuck,Unincorporated Ouray County,CO,10.34,37.94418,-107.740739
POINT (-105.262321 40.004828),6339,RCRA,University Of Colorado - Boulder,Boulder,CO,0,40.004828,-105.262321
POINT (-105.573 40.284),86,Abandoned Mine Land,EUGENIA MINE,ALLENSPARK,CO,0,40.284,-105.573
POINT (-107.724609 37.952952),1236,Brownfield,Barnaby,Unincorporated Ouray County,CO,9.82,37.952952,-107.724609
POINT (-107.720152 37.952397),1275,Brownfield,Declaration,Unincorporated Ouray County,CO,10.33,37.952397,-107.720152
POINT (-106.001 38.53),136,Abandoned Mine Land,KOPPERS - SALIDA,SALIDA,CO,0,38.53,-106.001
POINT (-106.492 39.141),120,Abandoned Mine Land,HALF MOON CREEK SITE,LEADVILLE,CO,1,39.141,-106.492
POINT (-104.767305 39.638571),6335,RCRA,Autoliv Asp  Inc,Aurora,CO,640,39.638571,-104.767305
POINT (-107.726567 37.951387),1263,Brownfield,Conqueror M.S.,Unincorporated Ouray County,CO,5,37.951387,-107.726567
POINT (-107.702002 37.952529),1330,Brownfield,Iron Man,Unincorporated Ouray County,CO,10.34,37.952529,-107.702002
POINT (-107.774555 37.991977),1412,Brownfield,Star of the West,Unincorporated Ouray County,CO,10.34,37.991977,-107.774555
POINT (-107.72246 37.955667),1411,Brownfield,Standish,Unincorporated Ouray County,CO,10.34,37.955667,-107.72246
POINT (-107.744636 37.947937),1249,Brownfield,Cabanas,Unincorporated Ouray County,CO,10.07,37.947937,-107.744636
POINT (-105.2357 40.252786),6371,RCRA,Syntex Lyons Groundwater Cleanup Project,Lyons,CO,85,40.252786,-105.2357
POINT (-108.764509 39.171863),6361,RCRA,Western Slope Refining Company,Fruita,CO,400,39.171863,-108.764509
POINT (-104.50096 37.17678),1217,Brownfield,Colorado Brownfields Foundation,Trinidad,CO,0.13,37.17678,-104.50096
POINT (-107.723918 37.936039),1323,Brownfield,High Ball,Unincorporated Ouray County,CO,10.37,37.936039,-107.723918
POINT (-104.981462 39.789217),6347,RCRA,Asarco Incorporated Globe Plant,Denver,CO,90,39.789217,-104.981462
POINT (-107.740382 37.973027),1252,Brownfield,Cataract,Unincorporated Ouray County,CO,6.13,37.973027,-107.740382
POINT (-107.726773 37.945681),1311,Brownfield,Good Luck Extension,Unincorporated Ouray County,CO,4.1,37.945681,-107.726773
POINT (-105.133202 40.579996),6359,RCRA,Colorado State University (Disposal),Fort Collins,CO,0,40.579996,-105.133202
POINT (-107.711242 37.942492),1441,Brownfield,Yaller Dorg,Unincorporated Ouray County,CO,10.34,37.942492,-107.711242
POINT (-107.724824 37.954343),1446,Brownfield,Yellow Rose M.S.,Unincorporated Ouray County,CO,4.96,37.954343,-107.724824
POINT (-107.721469 37.965075),1354,Brownfield,Miles,Unincorporated Ouray County,CO,6.49,37.965075,-107.721469
POINT (-105.2333 38.4),93,Abandoned Mine Land,LINCOLN PARK,CANON CITY,CO,1310,38.4,-105.2333
POINT (-105.008665 39.674025),6356,RCRA,Remelt Metals Inc,Englewood,CO,4.34,39.674025,-105.008665
POINT (-107.737987 37.944169),1384,Brownfield,Oro Cache,Unincorporated Ouray County,CO,10.3,37.944169,-107.737987
POINT (-107.784254 37.981855),1348,Brownfield,Maggie D.,Unincorporated Ouray County,CO,10.34,37.981855,-107.784254
POINT (-106.020833 38.548889),6376,RCRA,Cozinco,Salida,CO,25,38.548889,-106.020833
POINT (-107.713632 37.956398),1289,Brownfield,Equinox,Unincorporated Ouray County,CO,10.34,37.956398,-107.713632
POINT (-106.3917 39.53333),124,Abandoned Mine Land,EAGLE MINE,MINTURN/REDCLIFF,CO,1000,39.53333,-106.3917
POINT (-107.717399 37.962176),1233,Brownfield,Babcock No. 1,Unincorporated Ouray County,CO,10.34,37.962176,-107.717399
POINT (-107.683565 37.991708),1308,Brownfield,Gold Eagle,Unincorporated Ouray County,CO,9.36,37.991708,-107.683565
POINT (-107.705251 37.953252),1436,Brownfield,White Flag,Unincorporated Ouray County,CO,10.34,37.953252,-107.705251
POINT (-107.767609 37.97645),1406,Brownfield,Silver Dollar,Unincorporated Ouray County,CO,10.22,37.97645,-107.767609
POINT (-105.101755 39.929311),6340,RCRA,Microsemi Consortium,Broomfield,CO,20,39.929311,-105.101755
POINT (-105.188074 40.075937),6369,RCRA,Dover Industries Remediation,Longmont,CO,14.6,40.075937,-105.188074
POINT (-104.7083 39.64333),4804,Non-Federal Superfund,LOWRY LANDFILL,AURORA,CO,508,39.64333,-104.7083
POINT (-107.773916 37.975012),1448,Brownfield,Zigzag,Unincorporated Ouray County,CO,10.34,37.975012,-107.773916
POINT (-107.77 37.99),1386,Brownfield,Otto,Unincorporated Ouray County,CO,10.34,37.99,-107.77
POINT (-107.737346 37.971257),1367,Brownfield,Nelson,Unincorporated Ouray County,CO,7.63,37.971257,-107.737346
POINT (-107.686936 37.987877),1258,Brownfield,Cloudy Day,Unincorporated Ouray County,CO,9.32,37.987877,-107.686936
